region1,region2,rtt,bw,value,abb1,abb2,label,level
asia-south2-a,client-asia-east2-a,107.10799999999999,208.0,107.11280769230768,asia,asia,True,2
northamerica-northeast2-a,client-europe-west2-c,107.321,278.0,107.32459712230215,northamerica,europe,False,2
asia-east2-a,client-asia-south2-a,107.7,212.0,107.70471698113208,asia,asia,True,2
australia-southeast1-b,client-asia-southeast2-a,108.277,209.0,108.28178468899522,australia,asia,False,2
asia-southeast2-a,client-australia-southeast1-b,108.363,213.0,108.36769483568075,asia,australia,False,2
asia-south1-c,client-asia-east1-b,109.05,215.0,109.05465116279069,asia,asia,True,2
asia-east1-b,client-asia-south2-a,109.60799999999999,211.0,109.61273933649288,asia,asia,True,2
northamerica-northeast2-a,client-europe-central2-a,109.729,207.0,109.7338309178744,northamerica,europe,False,2
europe-central2-a,client-us-east1-b,110.417,204.0,110.42190196078431,europe,us,False,2
europe-central2-a,client-northamerica-northeast2-a,110.77799999999999,205.0,110.78287804878047,europe,northamerica,False,2
us-east1-b,client-europe-central2-a,111.368,203.0,111.37292610837437,us,europe,False,2
europe-west6-a,client-us-central1-c,111.446,201.0,111.4509751243781,europe,us,False,2
southamerica-west1-b,client-us-west4-a,111.764,201.0,111.7689751243781,southamerica,us,False,2
us-west4-a,client-southamerica-west1-b,111.833,199.0,111.83802512562814,us,southamerica,False,2
asia-northeast1-b,client-us-west3-a,112.26,198.0,112.26505050505051,asia,us,False,2
us-west3-a,client-asia-northeast1-b,112.59899999999999,200.0,112.60399999999998,us,asia,False,2
asia-northeast2-a,client-us-west4-a,112.726,201.0,112.7309751243781,asia,us,False,2
us-east4-c,client-southamerica-west1-b,113.085,194.0,113.09015463917525,us,southamerica,False,2
us-west4-a,client-asia-northeast2-a,113.73,201.0,113.73497512437811,us,asia,False,2
us-east1-b,client-europe-north1-a,113.943,197.0,113.94807614213198,us,europe,False,2
europe-north1-a,client-us-east1-b,114.20200000000001,195.0,114.20712820512821,europe,us,False,2
northamerica-northeast1-a,client-europe-north1-a,114.84100000000001,194.0,114.84615463917527,northamerica,europe,False,2
europe-west2-c,client-us-west3-a,115.177,195.0,115.18212820512821,europe,us,False,2
europe-north1-a,client-northamerica-northeast1-a,115.196,194.0,115.20115463917526,europe,northamerica,False,2
us-east4-c,client-southamerica-east1-b,115.88799999999999,193.0,115.89318134715025,us,southamerica,False,2
southamerica-east1-b,client-us-east4-c,115.992,194.0,115.99715463917526,southamerica,us,False,2
southamerica-west1-b,client-us-east4-c,116.181,187.0,116.18634759358288,southamerica,us,False,2
asia-northeast3-a,client-us-west1-b,116.3,189.0,116.305291005291,asia,us,False,2
asia-east1-b,client-us-west1-b,117.075,187.0,117.08034759358289,asia,us,False,2
southamerica-east1-b,client-us-east1-b,117.094,191.0,117.09923560209424,southamerica,us,False,2
asia-east2-a,client-australia-southeast2-a,117.344,181.0,117.34952486187845,asia,australia,False,2
us-east1-b,client-southamerica-east1-b,117.419,190.0,117.42426315789473,us,southamerica,False,2
australia-southeast2-a,client-asia-east2-a,117.654,184.0,117.6594347826087,australia,asia,False,2
us-west1-b,client-asia-northeast3-a,117.781,194.0,117.78615463917527,us,asia,False,2
us-west3-a,client-southamerica-west1-b,118.665,187.0,118.67034759358289,us,southamerica,False,2
southamerica-west1-b,client-us-west3-a,119.255,189.0,119.260291005291,southamerica,us,False,2
us-west1-b,client-asia-east1-b,119.29799999999999,188.0,119.30331914893615,us,asia,False,2
us-west3-a,client-asia-northeast2-a,119.331,187.0,119.33634759358289,us,asia,False,2
